cnpj,matriz_filial,nome_fantasia,situacao,data_inicio,cnae_principal,uf,municipio_cod,cep,bairro,ddd_1,telefone_1
59.171.875/0001-07,1,,02,20250129,4321500,SC,8327,88113280,AREIAS,48,84778039
59.171.886/0001-89,1,,02,20250129,8599603,SP,6413,15940000,CENTRO,16,96432384
59.171.898/0001-03,1,,02,20250129,7319002,MS,9141,79180000,BAIRRO ESTORIL,67,98188291
59.171.908/0001-00,1,,02,20250129,4781400,PI,1123,64130000,CENTRO,86,94813504
59.171.920/0001-15,1,MOVINCOM,02,20250129,7311400,RS,8841,97010041,CENTRO,55,81530790
59.171.932/0001-40,1,,02,20250129,7319002,MG,5241,38800000,NOSSA SENHORA DE FATIMA,34,97310650
59.171.944/0001-74,1,,02,20250120,6911701,RN,0432,59808000,CAMARAO,84,87860009
59.171.953/0001-65,1,,08,20250129,5320201,SP,6425,14403294,RECANTO ELIMAR,16,84331874
59.171.964/0001-45,1,,02,20250129,9601701,SP,7151,08673000,PARQUE SUZANO,11,73994892
57.046.429/0001-37,1,IMPLAC ENGENHARIA,02,20240828,6810201,AL,2785,57036330,JATIÚCA,82,81052808
53.178.890/0001-92,1,DCT CONSULTING GROUP,02,20231212,1830003,SP,7107,04543011,VILA NOVA CONCEICAO,19,34561887
59.171.995/0001-04,1,CLINICA ODONTOLOGICA PAULA QUEIROZ,02,20250129,8630504,PR,7505,87200278,ZONA 01,44,98786144
59.172.005/0001-44,1,,02,20250129,5320201,RS,8841,97090360,PRESIDENTE JOAO GOULART,55,91713882
59.172.019/0001-68,1,,02,20250129,8219999,GO,9221,75110753,JUNDIAI,62,91037878
59.172.030/0001-28,1,,08,20250129,8599604,SC,5545,88745000,CACADOR,48,99545920
55.853.661/0001-51,1,,08,20240709,8130300,PR,0842,83535000,LAGOA DA PEDRA,41,88598357
59.172.051/0001-43,1,,02,20250129,8650004,RS,8901,93214150,VACCHI,51,93950554
59.172.062/0001-23,1,STUDIO DARLEN VASCONCELOS,02,20250129,8650004,AL,2763,57280000,CENTRO,79,91462256
59.172.075/0001-00,1,,02,20250129,6911701,BA,3849,40110170,CANELA,11,87550700
59.172.087/0001-27,1,,08,20250129,9602501,ES,5697,29930380,CENTRO,27,99182075
59.172.097/0001-62,1,,02,20250129,4330402,RS,8801,91770791,SERRARIA,51,96591255
59.172.109/0001-59,1,,02,20250129,4723700,BA,3849,41930084,VALE DAS PEDRINHAS,71,85243178
59.172.120/0001-19,1,,02,20250129,2542000,RS,8541,95708730,APARECIDA,54,99440820
59.172.132/0001-43,1,,02,20250129,4744099,SC,1192,88828000,DUNAS,48,88392463
59.172.143/0001-23,1,,02,20250129,5320201,RS,8963,94435320,KRAHE,51,97278852
46.005.193/0001-74,1,,02,20220412,8230002,SP,7055,19360035,CENTRO,18,88183123
59.172.167/0001-82,1,,02,20250129,9602501,ES,5659,29390000,CENTRO,28,99925711
59.172.176/0001-73,1,,02,20250129,8599699,RS,8841,97045070,ITARARE,55,91017969
59.172.187/0001-53,1,,02,20250129,4753900,SP,7107,01209002,SANTA EFIGENIA,92,81899648
59.172.199/0001-88,1,JMH CONSULTORIA,08,20250129,8211300,PE,2419,55299839,SEVERIANO DE MORAES FILHO,87,96637285
